,Date,Open,Close,High,Low,Volume,Money,prev_close,daily_return
0,2011-01-26,24.71,24.75,24.88,24.1,1078933,0.0,,
1,2011-01-27,24.74,24.92,25.08,24.53,895155,0.0,24.75,0.006868686868686913
2,2011-01-28,24.88,24.01,24.88,23.75,1043121,0.0,24.92,-0.0365168539325843
3,2011-01-31,24.05,24.1,24.12,23.5,829812,0.0,24.01,0.0037484381507704168
4,2011-02-01,24.31,23.91,24.73,23.54,707791,0.0,24.1,-0.007883817427385975
5,2011-02-02,24.16,23.94,24.18,23.66,569472,0.0,23.91,0.0012547051442910462
6,2011-02-03,23.82,23.63,23.9,23.15,509017,0.0,23.94,-0.012949039264828821
7,2011-02-04,23.44,23.46,23.67,23.22,543617,0.0,23.63,-0.007194244604316502
8,2011-02-07,23.26,23.07,23.26,22.88,895011,0.0,23.46,-0.01662404092071612
9,2011-02-08,23.78,24.49,25.25,23.0,3504583,0.0,23.07,0.06155179887299522
10,2011-02-09,24.13,23.21,24.18,22.79,2633662,0.0,24.49,-0.0522662311147406
11,2011-02-10,23.26,23.21,23.64,22.81,818220,0.0,23.21,0.0
12,2011-02-11,23.25,23.25,23.75,22.94,634472,0.0,23.21,0.0017233950883239757
13,2011-02-14,23.64,23.08,24.14,23.05,1280993,0.0,23.25,-0.00731182795698937
14,2011-03-25,22.43,22.75,23.0,22.4,567922,0.0,23.08,-0.014298093587521543
15,2011-03-28,22.7,23.25,23.53,22.55,1057268,0.0,22.75,0.0219780219780219
16,2011-03-29,23.3,23.92,24.0,23.21,753291,0.0,23.25,0.02881720430107526
17,2011-03-30,24.11,23.71,24.49,23.01,1218561,0.0,23.92,-0.008779264214046845
18,2011-03-31,26.55,27.75,28.71,26.5,11283081,0.0,23.71,0.1703922395613664
19,2011-04-01,27.45,26.66,28.18,26.57,2864205,0.0,27.75,-0.03927927927927932
20,2011-04-04,26.83,25.83,27.0,25.23,2607605,0.0,26.66,-0.03113278319579904
21,2011-04-05,25.9,26.7,27.0,25.69,3149476,0.0,25.83,0.03368176538908241
22,2011-04-06,26.99,26.49,27.01,25.8,1278747,0.0,26.7,-0.00786516853932584
23,2011-04-07,26.85,27.24,27.94,26.45,2807716,0.0,26.49,0.028312570781426905
24,2011-04-08,27.58,26.49,27.6,26.36,1943572,0.0,27.24,-0.02753303964757714
25,2011-04-11,26.47,25.27,26.53,25.02,1368850,0.0,26.49,-0.046055115137787817
26,2011-04-12,25.08,24.65,25.21,24.3,1356601,0.0,25.27,-0.024535021764938714
27,2011-04-13,25.13,24.93,25.69,24.81,1209894,0.0,24.65,0.011359026369168301
28,2011-04-14,24.87,25.14,25.28,24.2,983382,0.0,24.93,0.008423586040914532
